locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
1334599,Tacos El Ojo De Agua,Truck,177000,03RD ST: SOUTH PARK to VARNEY PL (548 - 586),551 03RD ST,3775025,3775,25,19MFF-00046,EXPIRED,Tacos: Burritos: Tortas: Quesadillas: Salads: Soup: Fruits: Juices: Soda: Water,6014157.282,2112255.562,37.78064721,-122.3946292,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00046&ExportPDF=1&Filename=19MFF-00046_schedule.pdf,,,7/2/2019 0:00,20190702,0,1/15/2021 0:00,"(37.780647210048365, -122.39462918166163)",6,2,9,28856,6
1337431,Liang Bai Ping,Truck,11782000,SHAFTER AVE: GRIFFITH ST to HAWES ST (1100 - 1199),1127 SHAFTER AVE,4793017,4793,17,19MFF-00079,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,6017324.545,2092269.627,37.72594556,-122.3822812,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00079&ExportPDF=1&Filename=19MFF-00079_schedule.pdf,,,7/12/2019 0:00,20190712,1,1/15/2021 0:00,"(37.725945558046504, -122.38228115325305)",10,3,8,58,1
1332938,Mini Mobile Food Catering,Truck,2956003,BERRY ST: 06TH ST to KING ST (400 - 431),420 BERRY ST,8703006,8703,6,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6012806.325,2109136.82,37.77200866,-122.3990838,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00041&ExportPDF=1&Filename=19MFF-00041_schedule.pdf,,,6/26/2019 0:00,20190626,1,1/15/2021 0:00,"(37.77200865646878, -122.3990838454733)",14,2,9,310,20
1336739,Quan Catering,Truck,3083000,BRANNAN ST: HARRIET ST to LUCERNE ST (715 - 743),722 BRANNAN ST,3779132,3779,132,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6011956.485,2110042.886,37.77444911,-122.4020872,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00055&ExportPDF=1&Filename=19MFF-00055_schedule.pdf,,,7/10/2019 0:00,20190710,1,1/15/2021 0:00,"(37.77444911077535, -122.40208723606301)",14,2,9,28853,34
955616,Tacos Santo Toribio,Truck,12628000,TOLAND ST: NEWCOMB AVE to OAKDALE AVE (900 - 999),928 TOLAND ST,5597A001,5597A,1,17MFF-0171,REQUESTED,tacos,6011869.691,2098089.783,37.74162369,-122.4015472,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0171&ExportPDF=1&Filename=17MFF-0171_schedule.pdf,,,,20170323,0,,"(37.74162368623527, -122.4015472063967)",10,3,8,58,1
1336731,Quan Catering,Truck,15086000,,3305 03RD ST,4502A002,4502A,2,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6018751.714,2098754.754,37.74383117,-122.3777974,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00055&ExportPDF=1&Filename=19MFF-00055_schedule.pdf,,,7/10/2019 0:00,20190710,1,1/15/2021 0:00,"(37.74383117213268, -122.37779736896212)",10,3,8,58,1
848185,Reecees Soulicious,Truck,211101,03RD ST: NEWCOMB AVE to OAKDALE AVE (4701 - 4799) -- EAST --,4705 03RD ST,5311036,5311,36,16MFF-0139,REQUESTED,Fried Chicken: Fried Fish: Greens: Mac & Cheese: Peach Cobbler: and String beans,6015109.358,2095613.38,37.73500423,-122.3901725,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0139&ExportPDF=1&Filename=16MFF-0139_schedule.pdf,Th/Fr/Sa:7AM-7PM,,,20160908,0,3/15/2017 0:00,"(37.735004228951425, -122.39017246969969)",10,3,8,58,1
848080,Taqueria Lolita,Truck,10927000,RANKIN ST: DAVIDSON AVE to EVANS AVE (200 - 299),1700 EVANS AVE,5227001,5227,1,16MFF-0128,SUSPEND,Tacos: burritos: quesadillas: combination plates: tortas: tostadas,6014950.929,2099216.653,37.74488929,-122.390972,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0128&ExportPDF=1&Filename=16MFF-0128_schedule.pdf,Th/Fr/Sa:7AM-3PM,,8/1/2017 0:00,20160622,0,3/15/2018 0:00,"(37.744889286143, -122.39097197693538)",10,3,8,58,1
1010174,Julie's Hot Dogs,Truck,9121000,MISSION ST: 19TH ST to 20TH ST (2300 - 2399),2386 MISSION ST,3596119,3596,119,15MFF-0007,REQUESTED,Hot dogs: bacon-wrapped hot dogs: chicken burgers: energy drinks: water and various other drinks.,6006843.48,2104477.073,37.75887999,-122.4193792,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0007&ExportPDF=1&Filename=15MFF-0007_schedule.pdf,Tu/We/Th:12AM-3AM;Mo-We:12PM-12AM,,,20150223,0,,"(37.75887999201479, -122.41937920298372)",2,4,7,28859,19
1265597,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,10628000,POST ST: STOCKTON ST to POWELL ST (300 - 399),Assessors Block /Lot,,,,19MFF-00001,REQUESTED,American Food: Hot dogs: pretzels: ice cream: salads: beverages: sandwiches: soup: coffee: pastries:etc.,,,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00001&ExportPDF=1&Filename=19MFF-00001_schedule.pdf,,,,20190107,0,1/7/2020 0:00,"(0.0, 0.0)",,,,,
